item_id,MAE,RMSE,MASE,Model
FOODS_1_200,2.3852,3.1577,0.5908,Seq2Seq
FOODS_1_201,1.3502,1.9099,0.8101,Seq2Seq
FOODS_1_204,2.3132,2.6103,1.6015,Seq2Seq
FOODS_1_206,1.6142,2.0759,0.6604,Seq2Seq
FOODS_1_217,2.054,2.4904,0.7923,Seq2Seq
FOODS_1_218,5.1475,6.3171,1.0071,Seq2Seq
FOODS_1_219,1.2302,1.4657,0.692,Seq2Seq
FOODS_1_004,3.361,3.9005,1.4637,TFT
FOODS_1_012,2.2829,2.6194,0.9483,TFT
FOODS_1_018,4.7359,5.7542,0.888,TFT
FOODS_1_019,5.9552,6.7199,0.8374,TFT
FOODS_1_021,0.7387,0.9921,1.9945,TFT
FOODS_1_032,3.9048,5.7592,1.0439,TFT
FOODS_1_036,1.6093,2.0094,1.207,TFT
FOODS_1_040,2.2953,2.49,1.3186,TFT
FOODS_1_042,2.1765,2.6184,0.8642,TFT
FOODS_1_043,7.7924,8.9234,1.5819,TFT
FOODS_1_044,2.0587,2.6476,1.3896,TFT
FOODS_1_045,2.1875,3.0548,1.0183,TFT
FOODS_1_046,4.2566,4.6965,1.0641,TFT
FOODS_1_054,1.8422,2.704,0.5921,TFT
FOODS_1_055,3.6154,6.5517,0.6257,TFT
FOODS_1_058,2.605,3.5205,1.256,TFT
FOODS_1_067,3.3321,4.8371,1.1838,TFT
FOODS_1_082,2.7239,3.3153,0.6508,TFT
FOODS_1_085,5.6796,6.4164,1.0223,TFT
FOODS_1_086,4.6114,5.2591,0.9961,TFT
FOODS_1_087,1.7239,2.18,0.7161,TFT
FOODS_1_099,5.7775,6.7113,1.2999,TFT
FOODS_1_104,1.336,2.2729,0.8016,TFT
FOODS_1_110,6.3341,7.2078,2.1926,TFT
FOODS_1_112,2.0423,2.4634,1.6709,TFT
FOODS_1_113,3.0349,4.4363,1.1225,TFT
FOODS_1_120,1.3874,1.938,0.7345,TFT
FOODS_1_130,1.3866,1.6292,0.764,TFT
